IATA Code,Airport Name,Country,City,TimeZone
YDB,Burwash Airport,Canada,Burwash,America/Vancouver
\N,Princeton Airport,Canada,Princeton,America/Vancouver
YDF,Deer Lake Airport,Canada,Deer Lake,America/St_Johns
YDL,Dease Lake Airport,Canada,Dease Lake,America/Vancouver
YDN,Dauphin Barker Airport,Canada,Dauphin,America/Winnipeg
YDQ,Dawson Creek Airport,Canada,Dawson Creek,America/Dawson_Creek
YEG,Edmonton International Airport,Canada,Edmonton,America/Edmonton
YEK,Arviat Airport,Canada,Eskimo Point,America/Winnipeg
YEN,Estevan Airport,Canada,Estevan,America/Regina
YET,Edson Airport,Canada,Edson,America/Edmonton
YEU,Eureka Airport,Canada,Eureka,America/Winnipeg
YEV,Inuvik Mike Zubko Airport,Canada,Inuvik,America/Edmonton
YFB,Iqaluit Airport,Canada,Iqaluit,America/Toronto
YFC,Fredericton Airport,Canada,Fredericton,America/Halifax
YFE,Forestville Airport,Canada,Forestville,America/Toronto
YFO,Flin Flon Airport,Canada,Flin Flon,America/Winnipeg
YFR,Fort Resolution Airport,Canada,Fort Resolution,America/Edmonton
YFS,Fort Simpson Airport,Canada,Fort Simpson,America/Edmonton
YGK,Kingston Norman Rogers Airport,Canada,Kingston,America/Toronto
YGL,La Grande RiviÃ¨re Airport,Canada,La Grande Riviere,America/Toronto
YGP,GaspÃ© (Michel-Pouliot) Airport,Canada,Gaspe,America/Toronto
YGQ,Geraldton Greenstone Regional Airport,Canada,Geraldton,America/Toronto
YGR,ÃŽles-de-la-Madeleine Airport,Canada,Iles De La Madeleine,America/Toronto
YHB,Hudson Bay Airport,Canada,Hudson Bay,America/Regina
YHD,Dryden Regional Airport,Canada,Dryden,America/Winnipeg
YHI,Ulukhaktok Holman Airport,Canada,Holman Island,America/Edmonton
YHK,Gjoa Haven Airport,Canada,Gjoa Haven,America/Edmonton
YHM,John C. Munro Hamilton International Airport,Canada,Hamilton,America/Toronto
YHU,MontrÃ©al / Saint-Hubert Airport,Canada,Montreal,America/Toronto
YHY,Hay River / Merlyn Carter Airport,Canada,Hay River,America/Edmonton
YHZ,Halifax / Stanfield International Airport,Canada,Halifax,America/Halifax
YIB,Atikokan Municipal Airport,Canada,Atikokan,America/Coral_Harbour
YIO,Pond Inlet Airport,Canada,Pond Inlet,America/Toronto
YJN,St Jean Airport,Canada,St. Jean,America/Toronto
YJT,Stephenville Airport,Canada,Stephenville,America/St_Johns
YKA,Kamloops Airport,Canada,Kamloops,America/Vancouver
YKF,Waterloo Airport,Canada,Waterloo,America/Toronto
YKL,Schefferville Airport,Canada,Schefferville,America/Toronto
YKY,Kindersley Airport,Canada,Kindersley,America/Regina
YKZ,Buttonville Municipal Airport,Canada,Toronto,America/Toronto
YLD,Chapleau Airport,Canada,Chapleau,America/Toronto
YLJ,Meadow Lake Airport,Canada,Meadow Lake,America/Regina
YLL,Lloydminster Airport,Canada,Lloydminster,America/Edmonton
YLT,Alert Airport,Canada,Alert,America/Toronto
YLW,Kelowna International Airport,Canada,Kelowna,America/Vancouver
YMA,Mayo Airport,Canada,Mayo,America/Vancouver
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Canada,Moose Jaw,America/Regina
YMM,Fort McMurray Airport,Canada,Fort Mcmurray,America/Edmonton
YMO,Moosonee Airport,Canada,Moosonee,America/Toronto
YMW,Maniwaki Airport,Canada,Maniwaki,America/Toronto
YMX,Montreal International (Mirabel) Airport,Canada,Montreal,America/Toronto
YNA,Natashquan Airport,Canada,Natashquan,America/Toronto
YND,Ottawa / Gatineau Airport,Canada,Gatineau,America/Toronto
YNM,Matagami Airport,Canada,Matagami,America/Toronto
YOC,Old Crow Airport,Canada,Old Crow,America/Vancouver
YOD,CFB Cold Lake,Canada,Cold Lake,America/Edmonton
YOJ,High Level Airport,Canada,High Level,America/Edmonton
YOW,Ottawa Macdonald-Cartier International Airport,Canada,Ottawa,America/Toronto
YPA,Prince Albert Glass Field,Canada,Prince Albert,America/Regina
YPE,Peace River Airport,Canada,Peace River,America/Edmonton
YPG,Southport Airport,Canada,Portage-la-prairie,America/Winnipeg
\N,Pitt Meadows Airport,Canada,Pitt Meadows,America/Vancouver
YPL,Pickle Lake Airport,Canada,Pickle Lake,America/Coral_Harbour
YPN,Port Menier Airport,Canada,Port Menier,America/Toronto
YPQ,Peterborough Airport,Canada,Peterborough,America/Toronto
YPR,Prince Rupert Airport,Canada,Prince Pupert,America/Vancouver
YPY,Fort Chipewyan Airport,Canada,Fort Chipewyan,America/Edmonton
YQA,Muskoka Airport,Canada,Muskoka,America/Toronto
YQB,Quebec Jean Lesage International Airport,Canada,Quebec,America/Toronto
YQF,Red Deer Regional Airport,Canada,Red Deer Industrial,America/Edmonton
YQG,Windsor Airport,Canada,Windsor,America/Toronto
YQH,Watson Lake Airport,Canada,Watson Lake,America/Vancouver
YQK,Kenora Airport,Canada,Kenora,America/Winnipeg
YQL,Lethbridge County Airport,Canada,Lethbridge,America/Edmonton
YQM,Greater Moncton International Airport,Canada,Moncton,America/Halifax
YQQ,Comox Airport,Canada,Comox,America/Vancouver
YQR,Regina International Airport,Canada,Regina,America/Regina
YQT,Thunder Bay Airport,Canada,Thunder Bay,America/Toronto
YQU,Grande Prairie Airport,Canada,Grande Prairie,America/Edmonton
YQV,Yorkton Municipal Airport,Canada,Yorkton,America/Regina
YQW,North Battleford Airport,Canada,North Battleford,America/Regina
YQX,Gander International Airport,Canada,Gander,America/St_Johns
YQY,Sydney / J.A. Douglas McCurdy Airport,Canada,Sydney,America/Halifax
YQZ,Quesnel Airport,Canada,Quesnel,America/Vancouver
YRB,Resolute Bay Airport,Canada,Resolute,America/Winnipeg
YRI,RiviÃ¨re-du-Loup Airport,Canada,Riviere Du Loup,America/Toronto
YRJ,Roberval Airport,Canada,Roberval,America/Toronto
YRM,Rocky Mountain House Airport,Canada,Rocky Mountain House,America/Edmonton
YRT,Rankin Inlet Airport,Canada,Rankin Inlet,America/Winnipeg
YSB,Sudbury Airport,Canada,Sudbury,America/Toronto
YSC,Sherbrooke Airport,Canada,Sherbrooke,America/Toronto
YSJ,Saint John Airport,Canada,St. John,America/Halifax
YSM,Fort Smith Airport,Canada,Fort Smith,America/Edmonton
YSR,Nanisivik Airport,Canada,Nanisivik,America/Toronto
YSU,Summerside Airport,Canada,Summerside,America/Halifax
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,Sachs Harbour,America/Edmonton
YTE,Cape Dorset Airport,Canada,Cape Dorset,America/Toronto
YTH,Thompson Airport,Canada,Thompson,America/Winnipeg
YTR,CFB Trenton,Canada,Trenton,America/Toronto
YTS,Timmins/Victor M. Power,Canada,Timmins,America/Toronto
YTZ,Billy Bishop Toronto City Centre Airport,Canada,Toronto,America/Toronto
YUB,Tuktoyaktuk Airport,Canada,Tuktoyaktuk,America/Edmonton
YUL,Montreal / Pierre Elliott Trudeau International Airport,Canada,Montreal,America/Toronto
YUT,Repulse Bay Airport,Canada,Repulse Bay,America/Winnipeg
YUX,Hall Beach Airport,Canada,Hall Beach,America/Toronto
YUY,Rouyn Noranda Airport,Canada,Rouyn,America/Toronto
YVC,La Ronge Airport,Canada,La Ronge,America/Regina
YVG,Vermilion Airport,Canada,Vermillion,America/Edmonton
YVM,Qikiqtarjuaq Airport,Canada,Broughton Island,America/Toronto
YVO,Val-d'Or Airport,Canada,Val D'or,America/Toronto
YVP,Kuujjuaq Airport,Canada,Quujjuaq,America/Toronto
YVQ,Norman Wells Airport,Canada,Norman Wells,America/Edmonton
YVR,Vancouver International Airport,Canada,Vancouver,America/Vancouver
YVT,Buffalo Narrows Airport,Canada,Buffalo Narrows,America/Regina
YVV,Wiarton Airport,Canada,Wiarton,America/Toronto
YWA,Petawawa Airport,Canada,Petawawa,America/Toronto
YWG,Winnipeg / James Armstrong Richardson International Airport,Canada,Winnipeg,America/Winnipeg
YWK,Wabush Airport,Canada,Wabush,America/Halifax
YWL,Williams Lake Airport,Canada,Williams Lake,America/Vancouver
YWY,Wrigley Airport,Canada,Wrigley,America/Edmonton
YXC,Cranbrook/Canadian Rockies International Airport,Canada,Cranbrook,America/Edmonton
YXD,Edmonton City Centre (Blatchford Field) Airport,Canada,Edmonton,America/Edmonton
YXE,Saskatoon John G. Diefenbaker International Airport,Canada,Saskatoon,America/Regina
YXH,Medicine Hat Airport,Canada,Medicine Hat,America/Edmonton
YXJ,Fort St John Airport,Canada,Fort Saint John,America/Dawson_Creek
YXL,Sioux Lookout Airport,Canada,Sioux Lookout,America/Winnipeg
YXP,Pangnirtung Airport,Canada,Pangnirtung,America/Toronto
YXR,Earlton (Timiskaming Regional) Airport,Canada,Earlton,America/Toronto
YXS,Prince George Airport,Canada,Prince George,America/Vancouver
YXT,Northwest Regional Airport Terrace-Kitimat,Canada,Terrace,America/Vancouver
YXU,London Airport,Canada,London,America/Toronto
YXX,Abbotsford Airport,Canada,Abbotsford,America/Vancouver
YXY,Whitehorse / Erik Nielsen International Airport,Canada,Whitehorse,America/Vancouver
YYB,North Bay Jack Garland Airport,Canada,North Bay,America/Toronto
YYC,Calgary International Airport,Canada,Calgary,America/Edmonton
YYD,Smithers Airport,Canada,Smithers,America/Vancouver
YYE,Fort Nelson Airport,Canada,Fort Nelson,America/Vancouver
YYF,Penticton Airport,Canada,Penticton,America/Vancouver
YYG,Charlottetown Airport,Canada,Charlottetown,America/Halifax
YYH,Taloyoak Airport,Canada,Spence Bay,America/Edmonton
YYJ,Victoria International Airport,Canada,Victoria,America/Vancouver
YYL,Lynn Lake Airport,Canada,Lynn Lake,America/Winnipeg
YYN,Swift Current Airport,Canada,Swift Current,America/Regina
YYQ,Churchill Airport,Canada,Churchill,America/Winnipeg
YYR,Goose Bay Airport,Canada,Goose Bay,America/Halifax
YYT,St. John's International Airport,Canada,St. John's,America/St_Johns
YYU,Kapuskasing Airport,Canada,Kapuskasing,America/Toronto
YYW,Armstrong Airport,Canada,Armstrong,America/Toronto
YYY,Mont Joli Airport,Canada,Mont Joli,America/Toronto
YYZ,Lester B. Pearson International Airport,Canada,Toronto,America/Toronto
YZD,Downsview Airport,Canada,Toronto,America/Toronto
YZE,Gore Bay Manitoulin Airport,Canada,Gore Bay,America/Toronto
YZF,Yellowknife Airport,Canada,Yellowknife,America/Edmonton
YZH,Slave Lake Airport,Canada,Slave Lake,America/Edmonton
YZP,Sandspit Airport,Canada,Sandspit,America/Vancouver
YZR,Chris Hadfield Airport,Canada,Sarnia,America/Toronto
YZT,Port Hardy Airport,Canada,Port Hardy,America/Vancouver
YZU,Whitecourt Airport,Canada,Whitecourt,America/Edmonton
YZV,Sept-ÃŽles Airport,Canada,Sept-iles,America/Toronto
YZW,Teslin Airport,Canada,Teslin,America/Vancouver
YZX,CFB Greenwood,Canada,Greenwood,America/Halifax
ZFA,Faro Airport,Canada,Faro,America/Vancouver
ZFM,Fort Mcpherson Airport,Canada,Fort Mcpherson,America/Edmonton
QLD,Blida Airport,Algeria,Blida,Africa/Algiers
BUJ,Bou Saada Airport,Algeria,Bou Saada,Africa/Algiers
BJA,Soummam Airport,Algeria,Bejaja,Africa/Algiers
ALG,Houari Boumediene Airport,Algeria,Algier,Africa/Algiers
DJG,Djanet Inedbirene Airport,Algeria,Djanet,Africa/Algiers
\N,Boufarik Airport,Algeria,Boufarik,Africa/Algiers
\N,Reggane Airport,Algeria,Reggan,Africa/Algiers
VVZ,Illizi Takhamalt Airport,Algeria,Illizi,Africa/Algiers
\N,Ain Oussera Airport,Algeria,Ain Oussera,Africa/Algiers
TMR,Aguenar â€“ Hadj Bey Akhamok Airport,Algeria,Tamanrasset,Africa/Algiers
GJL,Jijel Ferhat Abbas Airport,Algeria,Jijel,Africa/Algiers
MZW,Mecheria Airport,Algeria,Mecheria,Africa/Algiers
\N,Relizane Airport,Algeria,Relizane,Africa/Algiers
AAE,Rabah Bitat Airport,Algeria,Annaba,Africa/Algiers
CZL,Mohamed Boudiaf International Airport,Algeria,Constantine,Africa/Algiers
TEE,Cheikh Larbi TÃ©bessi Airport,Algeria,Tebessa,Africa/Algiers
HRM,Hassi R'Mel Airport,Algeria,Tilrempt,Africa/Algiers
TID,Bou Chekif Airport,Algeria,Tiaret,Africa/Algiers
\N,Bou Sfer Airport,Algeria,Bou Sfer,Africa/Algiers
TIN,Tindouf Airport,Algeria,Tindouf,Africa/Algiers
CFK,Ech Cheliff Airport,Algeria,Ech-cheliff,Africa/Algiers
TAF,Tafaraoui Airport,Algeria,Oran,Africa/Algiers
TLM,Zenata â€“ Messali El Hadj Airport,Algeria,Tlemcen,Africa/Algiers
ORN,Es Senia Airport,Algeria,Oran,Africa/Algiers
BFW,Sidi Bel Abbes Airport,Algeria,Sidi Bel Abbes,Africa/Algiers
MUW,Ghriss Airport,Algeria,Ghriss,Africa/Algiers
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,Adrar,Africa/Algiers
BSK,Biskra Airport,Algeria,Biskra,Africa/Algiers
ELG,El Golea Airport,Algeria,El Golea,Africa/Algiers
GHA,NoumÃ©rat - Moufdi Zakaria Airport,Algeria,Ghardaia,Africa/Algiers
HME,Oued Irara Airport,Algeria,Hassi Messaoud,Africa/Algiers
INZ,In Salah Airport,Algeria,In Salah,Africa/Algiers
TGR,Touggourt Sidi Madhi Airport,Algeria,Touggourt,Africa/Algiers
LOO,Laghouat Airport,Algeria,Laghouat,Africa/Algiers
TMX,Timimoun Airport,Algeria,Timimoun,Africa/Algiers
OGX,Ain el Beida Airport,Algeria,Ouargla,Africa/Algiers
IAM,In AmÃ©nas Airport,Algeria,Zarzaitine,Africa/Algiers
COO,Cadjehoun Airport,Benin,Cotonou,Africa/Porto-Novo
OUA,Ouagadougou Airport,Burkina Faso,Ouagadougou,Africa/Ouagadougou
BOY,Bobo Dioulasso Airport,Burkina Faso,Bobo-dioulasso,Africa/Ouagadougou
ACC,Kotoka International Airport,Ghana,Accra,Africa/Accra
TML,Tamale Airport,Ghana,Tamale,Africa/Accra
\N,Wa Airport,Ghana,Wa,Africa/Accra
NYI,Sunyani Airport,Ghana,Sunyani,Africa/Accra
TKD,Takoradi Airport,Ghana,Takoradi,Africa/Accra
ABJ,Port Bouet Airport,Cote d'Ivoire,Abidjan,Africa/Abidjan
BYK,BouakÃ© Airport,Cote d'Ivoire,Bouake,Africa/Abidjan
DJO,Daloa Airport,Cote d'Ivoire,Daloa,Africa/Abidjan
HGO,Korhogo Airport,Cote d'Ivoire,Korhogo,Africa/Abidjan
MJC,Man Airport,Cote d'Ivoire,Man,Africa/Abidjan
SPY,San Pedro Airport,Cote d'Ivoire,San Pedro,Africa/Abidjan
ASK,Yamoussoukro Airport,Cote d'Ivoire,Yamoussoukro,Africa/Abidjan
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja,Africa/Lagos
AKR,Akure Airport,Nigeria,Akure,Africa/Lagos
BNI,Benin Airport,Nigeria,Benin,Africa/Lagos
CBQ,Margaret Ekpo International Airport,Nigeria,Calabar,Africa/Lagos
ENU,Akanu Ibiam International Airport,Nigeria,Enugu,Africa/Lagos
\N,Gusau Airport,Nigeria,Gusau,Africa/Lagos
IBA,Ibadan Airport,Nigeria,Ibadan,Africa/Lagos
ILR,Ilorin International Airport,Nigeria,Ilorin,Africa/Lagos
JOS,Yakubu Gowon Airport,Nigeria,Jos,Africa/Lagos
KAD,Kaduna Airport,Nigeria,Kaduna,Africa/Lagos
KAN,Mallam Aminu International Airport,Nigeria,Kano,Africa/Lagos
MIU,Maiduguri International Airport,Nigeria,Maiduguri,Africa/Lagos
MDI,Makurdi Airport,Nigeria,Makurdi,Africa/Lagos
LOS,Murtala Muhammed International Airport,Nigeria,Lagos,Africa/Lagos
MXJ,Minna Airport,Nigeria,Minna,Africa/Lagos
PHC,Port Harcourt International Airport,Nigeria,Port Hartcourt,Africa/Lagos
SKO,Sadiq Abubakar III International Airport,Nigeria,Sokoto,Africa/Lagos
YOL,Yola Airport,Nigeria,Yola,Africa/Lagos
ZAR,Zaria Airport,Nigeria,Zaria,Africa/Lagos
MFQ,Maradi Airport,Niger,Maradi,Africa/Niamey
NIM,Diori Hamani International Airport,Niger,Niamey,Africa/Niamey
THZ,Tahoua Airport,Niger,Tahoua,Africa/Niamey
AJY,Mano Dayak International Airport,Niger,Agadez,Africa/Niamey
\N,Dirkou Airport,Niger,Dirkou,Africa/Niamey
\N,Diffa Airport,Niger,Diffa,Africa/Niamey
ZND,Zinder Airport,Niger,Zinder,Africa/Niamey
MIR,Monastir Habib Bourguiba International Airport,Tunisia,Monastir,Africa/Tunis
TUN,Tunis Carthage International Airport,Tunisia,Tunis,Africa/Tunis
\N,Sidi Ahmed Air Base,Tunisia,Bizerte,Africa/Tunis
\N,Remada Air Base,Tunisia,Remada,Africa/Tunis
GAF,Gafsa Ksar International Airport,Tunisia,Gafsa,Africa/Tunis
GAE,GabÃ¨s Matmata International Airport,Tunisia,Gabes,Africa/Tunis
\N,Borj El Amri Airport,Tunisia,Bordj El Amri,Africa/Tunis
DJE,Djerba Zarzis International Airport,Tunisia,Djerba,Africa/Tunis
EBM,El Borma Airport,Tunisia,El Borma,Africa/Tunis
SFA,Sfax Thyna International Airport,Tunisia,Sfax,Africa/Tunis
TOE,Tozeur Nefta International Airport,Tunisia,Tozeur,Africa/Tunis
LRL,Niamtougou International Airport,Togo,Niatougou,Africa/Lome
LFW,LomÃ©-Tokoin Airport,Togo,Lome,Africa/Lome
ANR,Antwerp International Airport (Deurne),Belgium,Antwerp,Europe/Brussels
\N,Beauvechain Air Base,Belgium,Beauvechain,Europe/Brussels
\N,Kleine Brogel Air Base,Belgium,Kleine Brogel,Europe/Brussels
BRU,Brussels Airport,Belgium,Brussels,Europe/Brussels
\N,Jehonville Air Base,Belgium,Bertrix,Europe/Brussels
CRL,Brussels South Charleroi Airport,Belgium,Charleroi,Europe/Brussels
\N,ChiÃ¨vres Air Base,Belgium,Chievres,Europe/Brussels
\N,Koksijde Air Base,Belgium,Koksijde,Europe/Brussels
\N,Florennes Air Base,Belgium,Florennes,Europe/Brussels
KJK,Wevelgem Airport,Belgium,Kortrijk-vevelgem,Europe/Brussels
LGG,LiÃ¨ge Airport,Belgium,Liege,Europe/Brussels
OST,Ostend-Bruges International Airport,Belgium,Ostend,Europe/Brussels
\N,Zutendaal Air Base,Belgium,Zutendaal,Europe/Brussels
\N,Brustem Airfield Sint Truiden,Belgium,Sint-truiden,Europe/Brussels
\N,Saint Hubert Air Base,Belgium,St.-hubert,Europe/Brussels
\N,Ursel Air Base,Belgium,Ursel,Europe/Brussels
\N,Weelde Air Base,Belgium,Weelde,Europe/Brussels
OBL,Zoersel (Oostmalle) Airfield,Belgium,Zoersel,Europe/Brussels
\N,Flugplatz Bautzen,Germany,Bautzen,Europe/Berlin
AOC,Altenburg-Nobitz Airport,Germany,Altenburg,Europe/Berlin
\N,Dessau Airfield,Germany,Dessau,Europe/Berlin
\N,EisenhÃ¼ttenstadt Airfield,Germany,Eisenhuettenstadt,Europe/Berlin
\N,GroÃŸenhain Airport,Germany,Suhl,Europe/Berlin
\N,Merseburg Airport,Germany,Muehlhausen,Europe/Berlin
\N,Halle-Oppin Airport,Germany,Halle,Europe/Berlin
IES,Riesa-GÃ¶hlis Airport,Germany,Riesa,Europe/Berlin
REB,Rechlin-LÃ¤rz Airport,Germany,Rechlin-laerz,Europe/Berlin
\N,Strausberg Airport,Germany,Strausberg,Europe/Berlin
QXH,SchÃ¶nhagen Airport,Germany,Schoenhagen,Europe/Berlin
BBH,Barth Airport,Germany,Barth,Europe/Berlin
\N,Jena-SchÃ¶ngleina Airfield,Germany,Jena,Europe/Berlin
\N,Kyritz Airport,Germany,Kyritz,Europe/Berlin
ZMG,"Magdeburg ""City"" Airport",Germany,Magdeburg,Europe/Berlin
\N,Rothenburg/GÃ¶rlitz Airport,Germany,Rothenburg/ol,Europe/Berlin
\N,Anklam Airfield,Germany,Anklam,Europe/Berlin
CBU,Cottbus-Drewitz Airport,Germany,Cottbus,Europe/Berlin
\N,Kamenz Airport,Germany,Kamenz,Europe/Berlin
SXF,Berlin-SchÃ¶nefeld Airport,Germany,Berlin,Europe/Berlin
DRS,Dresden Airport,Germany,Dresden,Europe/Berlin
ERF,Erfurt Airport,Germany,Erfurt,Europe/Berlin
FRA,Frankfurt am Main Airport,Germany,Frankfurt,Europe/Berlin
FMO,MÃ¼nster OsnabrÃ¼ck Airport,Germany,Munster,Europe/Berlin
HAM,Hamburg Airport,Germany,Hamburg,Europe/Berlin
THF,Berlin-Tempelhof International Airport,Germany,Berlin,Europe/Berlin
CGN,Cologne Bonn Airport,Germany,Cologne,Europe/Berlin
DUS,DÃ¼sseldorf Airport,Germany,Duesseldorf,Europe/Berlin
MUC,Munich Airport,Germany,Munich,Europe/Berlin
NUE,Nuremberg Airport,Germany,Nuernberg,Europe/Berlin
LEJ,Leipzig/Halle Airport,Germany,Leipzig,Europe/Berlin
SCN,SaarbrÃ¼cken Airport,Germany,Saarbruecken,Europe/Berlin
STR,Stuttgart Airport,Germany,Stuttgart,Europe/Berlin
TXL,Berlin-Tegel Airport,Germany,Berlin,Europe/Berlin
HAJ,Hannover Airport,Germany,Hannover,Europe/Berlin
BRE,Bremen Airport,Germany,Bremen,Europe/Berlin
QEF,Frankfurt-Egelsbach Airport,Germany,Egelsbach,Europe/Berlin
HHN,Frankfurt-Hahn Airport,Germany,Hahn,Europe/Berlin
MHG,Mannheim-City Airport,Germany,Mannheim,Europe/Berlin
\N,Allendorf/Eder Airport,Germany,Allendorf,Europe/Berlin
\N,Worms Airport,Germany,Worms,Europe/Berlin
\N,Mainz-Finthen Airport,Germany,Mainz,Europe/Berlin
EIB,Eisenach-Kindel Airport,Germany,Eisenach,Europe/Berlin
SGE,Siegerland Airport,Germany,Siegerland,Europe/Berlin
XFW,Hamburg-Finkenwerder Airport,Germany,Hamburg,Europe/Berlin
KEL,Kiel-Holtenau Airport,Germany,Kiel,Europe/Berlin
LBC,LÃ¼beck Blankensee Airport,Germany,Luebeck,Europe/Berlin
\N,Flugplatz Dahlemer Binz,Germany,Dahlemer Binz,Europe/Berlin
\N,Meinerzhagen Airport,Germany,Meinerzhagen,Europe/Berlin
\N,Arnsberg-Menden Airport,Germany,Arnsberg,Europe/Berlin
ESS,Essen Mulheim Airport,Germany,Essen,Europe/Berlin
BFE,Bielefeld Airport,Germany,Bielefeld,Europe/Berlin
MGL,MÃ¶nchengladbach Airport,Germany,Moenchengladbach,Europe/Berlin
PAD,Paderborn Lippstadt Airport,Germany,Paderborn,Europe/Berlin
\N,Stadtlohn-Vreden Airport,Germany,Stadtlohn,Europe/Berlin
DTM,Dortmund Airport,Germany,Dortmund,Europe/Berlin
AGB,Augsburg Airport,Germany,Augsburg,Europe/Berlin
\N,Biberach a.d. RiÃŸ Airfield,Germany,Biberach,Europe/Berlin
\N,Eggenfelden Airport,Germany,Eggenfelden,Europe/Berlin
\N,Mindelheim-Mattsies Airfield,Germany,Mindelheim,Europe/Berlin
OBF,Oberpfaffenhofen Airport,Germany,Oberpfaffenhofen,Europe/Berlin
RBM,Straubing Airport,Germany,Straubing,Europe/Berlin
\N,Vilshofen Airport,Germany,Vilshofen,Europe/Berlin
\N,Leutkirch-Unterzeil Airport,Germany,Leutkirch,Europe/Berlin
FDH,Friedrichshafen Airport,Germany,Friedrichshafen,Europe/Berlin
SZW,Schwerin Parchim Airport,Germany,Parchim,Europe/Berlin
\N,Stendal-Borstel Airport,Germany,Stendal,Europe/Berlin
\N,Aalen-Heidenheim/Elchingen Airport,Germany,Aalen-heidenheim,Europe/Berlin
BYU,Bayreuth Airport,Germany,Bayreuth,Europe/Berlin
URD,Burg Feuerstein Airport,Germany,Burg Feuerstein,Europe/Berlin
HOQ,Hof-Plauen Airport,Germany,Hof,Europe/Berlin
\N,HaÃŸfurt-Schweinfurt Airport,Germany,Hassfurt,Europe/Berlin
\N,Koblenz-Winningen Airfield,Germany,Koblenz,Europe/Berlin
\N,Trier-FÃ¶hren Airport,Germany,Trier,Europe/Berlin
\N,Speyer Airfield,Germany,Speyer,Europe/Berlin
ZQW,ZweibrÃ¼cken Airport,Germany,Zweibruecken,Europe/Berlin
ZQL,Donaueschingen-Villingen Airport,Germany,Donaueschingen,Europe/Berlin
\N,Freiburg i. Br. Airport,Germany,Freiburg,Europe/Berlin
\N,Mengen-Hohentengen Airport,Germany,Mengen,Europe/Berlin
\N,Adolf WÃ¼rth Airport,Germany,Schwaebisch Hall,Europe/Berlin
